adobe-source-han-sans-cn-fonts 2.000-2
aircrack-ng 1.5.2-1
alsa-tools 1.1.7-1
alsa-utils 1.1.7-1
android-apktool 2.3.4-1
android-tools 9.0.0_r18-1
ansible 2.7.5-1
arc-gtk-theme 20181022-1
archlinuxcn-keyring 20190109-1
aria2 1.34.0-1
autoconf 2.69-5
automake 1.16.1-1
awesome-terminal-fonts 1.1.0-2
bash 4.4.023-1
bash-completion 2.8-1
bbswitch 0.8-189
besttrace 1.2-2
bind-tools 9.13.5-2
binutils 2.31.1-4
bison 3.2-1
blender 17:2.79.b.git4.2c0c1f49-2
btrfs-progs 4.19.1-1
bumblebee 3.2.1-20
bzip2 1.0.6-8
catimg 2.5.0-1
chafa 1.0.1-1
cmake 3.13.2-1
compton 4.0-1
conky 1.11.2-1
cool-retro-term 1.1.0-1
coreutils 8.30-1
cowsay 3.04-1
cryptsetup 2.0.6-1
dbeaver 5.2.4-1
device-mapper 2.02.183-1
dex2jar 2.0-1
dhcpcd 7.0.8-1
dialog 1:1.3_20181107-1
diffutils 3.7-1
disunity 0.5.0-1
dmidecode 3.2-1
docker 1:18.09.0-2
docker-compose 1.23.2-1
docker-machine 0.16.0-1
dos2unix 7.4.0-1
dunst 1.3.2-2
e2fsprogs 1.44.5-1
efibootmgr 16-1
ethtool 1:4.19-1
ettercap 0.8.2-5
evince 3.30.2-1
fakeroot 1.23-1
fcitx-configtool 0.4.10-3
fcitx-googlepinyin 0.1.6-6
fcitx-gtk2 4.2.9.6-1
fcitx-gtk3 4.2.9.6-1
fcitx-qt5 1.2.3-4
feh 3.1.1-1
file 5.35-1
filesystem 2018.12-2
filezilla 3.39.0-1
findutils 4.6.0-4
firefox-i18n-zh-cn 64.0-1
flex 2.6.4-2
frp 0.22.0-1
gawk 4.2.1-1
gcc 8.2.1+20181127-1
gcc-libs 8.2.1+20181127-1
geckodriver 0.23.0-1
genymotion 3.0.0-1
gettext 0.19.8.1-3
gifski 0.8.5-2
gimp 2.10.8-1
gimp-help-zh_cn 2.8.2-6
git 2.20.1-1
glibc 2.28-5
gnome-keyring 1:3.28.2-1
go 2:1.11.4-1
google-chrome 71.0.3578.98-1
google-earth-pro 7.3.2.5495-1
gptfdisk 1.0.4-1
grep 3.3-1
groff 1.22.3-8
grub 2:2.02-8
gzip 1.10-1
hashcat 1:5.1.0-1
htop 2.2.0-2
hydra 8.8-1
i3-gaps 4.16-1
i3lock-color 2.12-1
i3status 2.12-2
ifuse 1.1.3-5
inetutils 1.9.4-6
intel-opencl-runtime 1:18.1.0.013-2
intel-ucode 20180807.a-1
iproute2 4.20.0-1
iputils 20180629.f6aac8d-2
iw 4.14-1
jadx 0.8.0-1
jd-gui-bin 1.4.0-2
jenkins 2.157-1
jfsutils 1.1.15-6
jq 1.6-1
julia 2:1.0.3-2
jupyter 4.1.0-7
less 530-1
lib32-nvidia-utils 415.25-1
libtool 2.4.6+42+gb88cebd5-2
libxnvctrl 415.25-1
licenses 20181104-1
linux 4.20.arch1-1
lmms 1.2.0rc7-2
logrotate 3.15.0-1
lsof 4.91-1
lutris 0.4.23-1
lvm2 2.02.183-1
lxappearance 0.6.3-2
m4 1.4.18-2
macchanger 1.7.0-4
make 4.2.1-3
man-db 2.8.5-1
man-pages 4.16-2
mariadb-clients 10.1.37-1
mdadm 4.0-2
mdk3 v6-7
medusa 2.2-8
mesa-demos 8.4.0-1
minikube-bin 0.32.0-1
mitmproxy 4.0.4-2
mixxx 2.2.0-1
mosh 1.3.2-6
mpc 0.31-1
mpd 0.21.4-1
mpv 1:0.29.1-5
mtr 0.92-2
mycli 1.19.0-2
nano 3.2-1
ncmpcpp 0.8.2-5
